imovel_Id;tipoImovel;valorImovel;areaRealPrivativa;latitude;longitude;quartos;banho;suites;vagaGaragem;valorCondominio;valorIptu;Cidade;Regiao;Bairro;Endereco
3252807;Apartamento 4 quartos;450000;95;0;0;4;3;1;2;506;183;belo-horizonte;oeste;Buritis;Rua Engenheiro Alberto Pontes, 459
351376;Apartamento 4 quartos;460000;150;-19,9481535;-43,9227155;4;3;1;2;580;205,62;belo-horizonte;centro-sul;Anchieta;Rua Muzambinho, 265
471390;Casa;460000;190;-19,908852;-43,905902;4;2;0;1;0;240,55;belo-horizonte;centro-sul;Santa Efig�nia;Rua Felipe Camar�o, 132
2447706;Apartamento 3 quartos;460000;91;-19,921796;-43,988046;3;2;1;2;290;1352,32;belo-horizonte;noroeste;Cora��o Eucar�stico;Rua Dom Jos� Pereira Lara, 153
3326834;Cobertura;470000;150;-19,8690294;-43,9798949;3;3;1;2;120;56;belo-horizonte;pampulha;Ouro Preto;Rua Frei Leopoldo, 148
330740;Apartamento 3 quartos;480000;146;-19,887819;-43,930826;3;1;1;2;808;139,19;belo-horizonte;nordeste;Silveira;Rua Ilacir Pereira Lima, 419
337836;Cobertura;480000;170;-19,8820222;-43,998151;3;2;1;2;280;93;belo-horizonte;pampulha;Castelo;Rua Castelo de Abrantes, 210
1621501;Apartamento 3 quartos;480000;71;-19,8938428;-43,9332561;3;1;1;2;130;1286,1;belo-horizonte;nordeste;Nova Floresta;Rua Horta Barbosa, 237
2257541;Apartamento 3 quartos;480000;100;-19,972273;-43,9675889;3;1;1;2;919,2;227,8;belo-horizonte;oeste;Buritis;Rua Ernani Agricola, 6
3254337;Apartamento 3 quartos;480000;137;-19,9801958;-43,9688202;3;2;1;2;350;1529,78;belo-horizonte;oeste;Buritis;Rua Alessandra Salum Cadar, 330
2234694;Apartamento 3 quartos;485000;95;-19,9024244;-43,970335;3;3;1;2;400;143;belo-horizonte;noroeste;Cai�aras;Rua Gua�ra, 205
55306;Apartamento 3 quartos;490000;90;-19,8998659;-43,9184973;3;2;1;2;200;1;belo-horizonte;leste;Sagrada Fam�lia;Rua S�o Luiz, 40
1381646;Casa;490000;520;-19,8998625;-43,9411625;0;0;0;2;0;167;belo-horizonte;nordeste;Conc�rdia;Rua Beberibe, 283
3268466;Apartamento 3 quartos;495000;83;-19,9114635;-43,9323313;3;1;1;2;1000;147,59;belo-horizonte;leste;Floresta;Rua Pouso Alegre, 650
1817808;Apartamento 3 quartos;498000;100;-19,9505659;-43,929267;3;3;1;2;450;133,98;belo-horizonte;centro-sul;Anchieta;Rua Professor Norton Kaiserman, 45
143671;Apartamento 4 quartos;500000;107;-19,8637117;-43,9545845;4;3;1;2;384;108,13;belo-horizonte;pampulha;Indai�;Rua Boaventura, 1168
180502;Apartamento 3 quartos;500000;100;-19,946577;-43,925343;3;2;0;1;400;130;belo-horizonte;centro-sul;Anchieta;Rua Vit�rio Marcola, 666
9551;Apartamento 4 quartos;520000;119;-19,970933;-43,973558;4;2;1;2;280;250,17;belo-horizonte;oeste;Buritis;Rua Maria Heilbuth Surette, 430
1692157;Lote-�rea-Terreno;520000;750;-19,8375678;-44,0070972;0;0;0;0;0;80;belo-horizonte;pampulha;Pampulha;Rua Deputado Gregoriano Canedo, 14
3262229;Apartamento 3 quartos;529000;191;-19,8245383;-43,9505636;3;1;1;3;170;966;belo-horizonte;norte;Vila Cloris;Rua das Catorritas, 185
364820;Apartamento 4 quartos;530000;110;-19,891666;-43,931306;4;3;1;2;670;139,8;belo-horizonte;leste;Cidade Nova;Rua Jornalista Juracy Manoel, 40
3263597;Apartamento 3 quartos;530000;87;-19,9478664;-43,9229755;3;2;1;1;400;159,85;belo-horizonte;centro-sul;Anchieta;Rua Ramalhete, 81
34109;Apartamento 2 quartos;540000;63;-19,9440685;-43,9241723;2;2;2;2;280;112;belo-horizonte;centro-sul;Anchieta;Rua Mestre Lucas, 190
1673617;Apartamento 3 quartos;540000;100;-19,882316;-43,98261;3;2;1;2;540,2;201,58;belo-horizonte;pampulha;Ouro Preto;Rua Desembargador Paulo Mota, 1665
168106;Apartamento 2 quartos;545000;60;-19,944958;-43,9340903;2;3;2;2;300;100;belo-horizonte;centro-sul;Cruzeiro;Rua Albita, 120
1463841;Casa;549000;360;-19,8157334;-43,9498178;3;3;1;3;0;150;belo-horizonte;norte;Sat�lite;Rua Urano, 541
53826;Casa;550000;300;-19,8941509;-43,9388939;3;2;0;6;0;175,35;belo-horizonte;nordeste;Renascen�a;Rua Borborema, 151
145952;Apartamento 3 quartos;550000;97;-19,9684106;-43,9688188;3;3;1;3;750;260,83;belo-horizonte;oeste;Buritis;Rua Ernani Agricola, 242
406922;Cobertura;550000;150;-19,8416536;-43,9541275;3;3;1;3;150;155;belo-horizonte;norte;Planalto;Rua Gerson Morethzon, 50
498985;Cobertura;550000;160;-19,8687559;-43,9234001;3;2;1;2;200;191,59;belo-horizonte;nordeste;Fern�o Dias;Rua Aiuruoca, 85
1822047;Lote-�rea-Terreno;550000;381;-19,9729636;-43,9503254;0;0;0;0;0;131;belo-horizonte;centro-sul;Santa L�cia;Rua Xingu, 0
3262227;Cobertura;550000;204;-19,8360864;-43,9573085;4;3;1;2;350;171,95;belo-horizonte;pampulha;Itapo�;Rua Desembargador Cust�dio Lustosa, 103
3264889;Casa;550000;360;-19,8823018;-43,9429384;4;2;2;1;0;260,11;belo-horizonte;;Santa Cruz;Rua Aroeira, 803
3320289;Apartamento 3 quartos;550000;180;-19,8783295;-44,0039745;3;3;1;2;160;155;belo-horizonte;pampulha;Castelo;Rua Castelo de Sintra, 955
64397;Casa;560000;98;-19,9117651;-43,9111428;3;1;0;2;0;80,13;belo-horizonte;leste;Santa Tereza;Rua Silvian�polis, 231
471721;Cobertura;560000;156;0;0;3;2;1;1;200;217,5;belo-horizonte;nordeste;Fern�o Dias;Rua Aiuruoca, 85
3242340;Apartamento 4 quartos;560000;140;-19,9757461;-43,9682344;4;4;1;3;500;189,23;belo-horizonte;oeste;Buritis;Rua Doutor C�lio Andrade, 166
40571;Casa;580000;110;-19,82222;-43,972436;3;1;0;2;0,01;80;belo-horizonte;pampulha;Santa Am�lia;Rua Ministro Oliveira Salazar, 281
3250455;Cobertura;580000;77;-19,9248454;-43,9683484;2;3;1;2;420;149,4;belo-horizonte;oeste;Prado;Rua dos Andes, 403
3265777;Casa;580000;160;-19,8889876;-44,0045238;4;3;1;4;0,01;105,45;belo-horizonte;noroeste;Al�pio de Melo;Rua dos Jornalistas, 78
350044;Apartamento 4 quartos;588000;140;-19,945078;-43,9512768;4;3;1;2;670;275;belo-horizonte;centro-sul;Luxemburgo;Rua Henrique Sales, 264
1928876;Cobertura;590000;115;-19,9717579;-43,9775354;3;3;2;2;322;121,37;belo-horizonte;oeste;Buritis;Rua Lauro Ferreira, 33
